
 num     #instances         #bytes  class name
----------------------------------------------
   1:        209012       59193104  [B
   2:         48752       30256808  [I
   3:        298355       27876280  [C
   4:        270933        6502392  java.lang.String
   5:         58333        5845504  [Ljava.lang.Object;
   6:        153164        4901248  com.intellij.util.text.ByteArrayCharSequence
   7:         37178        4098120  java.lang.Class
   8:         79875        3195000  com.intellij.openapi.vfs.impl.ArchiveHandler$EntryInfo
   9:         64900        2076800  java.util.HashMap$Node
  10:         60032        1921024  com.intellij.util.containers.IntObjectLinkedMap$MapEntry
  11:         45399        1815960  com.intellij.util.containers.hash.LinkedHashMap$Entry
  12:         33456        1338240  org.jdom.Attribute
  13:         13224        1163712  java.lang.reflect.Method
  14:         13564        1085120  java.lang.reflect.Constructor
  15:          7428        1055224  [Ljava.util.HashMap$Node;
  16:         26198        1047920  java.util.LinkedHashMap$Entry
  17:         41436         994464  com.intellij.openapi.util.io.BufferExposingByteArrayOutputStream
  18:         13536         974592  java.lang.reflect.Field
  19:         29032         929024  java.util.concurrent.ConcurrentHashMap$Node
  20:          6769         927664  [J
  21:         23202         742464  com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl
  22:           301         627544  [Lcom.intellij.openapi.vfs.impl.ArchiveHandler$EntryInfo;
  23:         15232         609280  org.jdom.ContentList
  24:         15232         609280  org.jdom.Element
  25:         14216         568640  com.intellij.psi.impl.source.tree.java.PsiJavaTokenImpl
  26:          8308         531712  java.net.URL
  27:             2         524320  [Lcom.jetbrains.sourceglider.relations.incremental.RelationsCache$KeyEntry;
  28:           626         512392  [Lcom.intellij.util.containers.hash.LinkedHashMap$Entry;
  29:         31623         505968  java.lang.Integer
  30:         22898         494896  [Ljava.lang.Class;
  31:          7895         442120  java.lang.Class$ReflectionData
  32:         12014         439680  [Lorg.jdom.Attribute;
  33:         10934         437360  java.lang.ref.SoftReference
  34:         12944         414208  java.util.Hashtable$Entry
  35:         12906         412992  org.jdom.AttributeList
  36:          7015         392840  com.intellij.psi.impl.source.tree.java.PsiReferenceParameterListImpl
  37:            33         388624  [Lcom.intellij.util.containers.IntObjectLinkedMap$MapEntry;
  38:         22784         364544  com.intellij.psi.impl.cache.impl.id.IdIndexEntry
  39:         14883         357192  java.util.ArrayList
  40:          4858         349776  com.intellij.psi.impl.source.tree.java.PsiReferenceExpressionImpl
  41:          8495         339800  com.intellij.psi.impl.source.tree.PsiWhiteSpaceImpl
  42:         12822         307728  com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData
  43:          7666         306640  com.intellij.psi.impl.source.tree.java.PsiIdentifierImpl
  44:           663         295184  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  45:          5896         283008  java.util.HashMap
  46:          4912         275072  java.util.LinkedHashMap
  47:          4254         272256  com.intellij.openapi.actionSystem.Presentation
  48:         10702         256848  com.intellij.util.SmartList
  49:          4522         253232  java.lang.invoke.MemberName
  50:          6336         245336  [Ljava.lang.String;
  51:          5776         231040  com.intellij.openapi.util.objectTree.ObjectNode
  52:          5733         229320  com.intellij.reference.SoftReference
  53:          6752         216064  org.jetbrains.kotlin.name.FqNameUnsafe
  54:          4340         208320  gnu.trove.THashMap
  55:          1714         205192  [Ljava.util.Hashtable$Entry;
  56:          5100         204000  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
  57:          1442         201488  [S
  58:          4394         192808  [Lorg.jdom.Content;
  59:          7833         187992  org.jetbrains.kotlin.name.FqName
  60:          4515         180600  com.intellij.openapi.extensions.impl.XmlExtensionAdapter
  61:          4333         173320  java.lang.invoke.MethodType
  62:          3566         171168  org.jdom.ImmutableElement
  63:          6769         162352  [Ljava.lang.reflect.Constructor;
  64:          3225         154800  com.intellij.openapi.vfs.impl.FilePointerPartNode
  65:           118         153744  [[C
  66:          2375         152000  com.intellij.psi.impl.source.tree.java.PsiExpressionListImpl
  67:          1699         149512  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
  68:          2018         145296  com.intellij.psi.impl.source.PsiJavaCodeReferenceElementImpl
  69:          6033         144792  sun.reflect.NativeConstructorAccessorImpl
  70:          2252         144128  com.intellij.psi.impl.source.tree.java.PsiMethodCallExpressionImpl
  71:          2984         143232  org.apache.xerces.dom.DeferredAttrNSImpl
  72:            14         143008  [Lcom.intellij.util.containers.ConcurrentIntObjectHashMap$Node;
  73:          4354         139328  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  74:          2169         138816  java.util.concurrent.ConcurrentHashMap
  75:          3389         135560  com.intellij.openapi.extensions.impl.XmlExtensionAdapter$ConstructorInjectionAdapter
  76:          2107         134848  com.esotericsoftware.kryo.serializers.UnsafeCacheFields$UnsafeObjectField
  77:          2367         132552  java.lang.Package
  78:          5260         126240  com.intellij.util.lang.MemoryResource
  79:           645         125184  [Ljava.util.WeakHashMap$Entry;
  80:          3086         123440  org.jetbrains.kotlin.metadata.jvm.deserialization.JvmMetadataVersion
  81:          5100         122400  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
  82:          1271         122016  com.intellij.codeInspection.LocalInspectionEP
  83:          2892         115680  com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl
  84:          4700         112800  com.intellij.openapi.util.Pair
  85:          3456         110592  com.intellij.util.keyFMap.PairElementsFMap
  86:          2526         101040  java.util.TreeMap$Entry
  87:          1684         100616  [Ljava.lang.reflect.Method;
  88:          6235          99760  sun.reflect.DelegatingConstructorAccessorImpl
  89:           407          99744  [F
  90:          1131          99528  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
  91:          3084          98688  org.jetbrains.kotlin.idea.caches.IDEKotlinBinaryClassCache$KotlinBinaryClassHeaderData
  92:          3084          98688  org.jetbrains.kotlin.idea.caches.IDEKotlinBinaryClassCache$KotlinBinaryData
  93:          5439          87024  java.lang.Object
  94:          2718          86976  java.lang.invoke.DirectMethodHandle
  95:          1779          85392  gnu.trove.TObjectIntHashMap
  96:          3520          84480  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
  97:          1496          83776  com.intellij.openapi.actionSystem.ActionStub
  98:          3472          83328  org.jetbrains.kotlin.cli.common.arguments.Freezable$FreezableVar
  99:          1481          82936  com.intellij.psi.impl.source.tree.CompositeElement
 100:          2561          81952  com.intellij.util.indexing.impl.ChangeTrackingValueContainer
[...]
Total       2375460      189918928
